"GeneratedAtUtc","FilesAnalyzed","ReportPath","TotalLaunchEvents","UniqueSites","MaxObservedStreak","ViolationCount","Pass"
"12/06/2025 01:23:50","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-05.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-05.json","78","4","1","0","True"
"12/07/2025 11:42:34","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-07.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-07.json","2","2","1","0","True"
"12/10/2025 19:32:40","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-10.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-10.json","8","2","1","0","True"
"12/12/2025 21:52:57","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-12.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-12.json","4","2","1","0","True"
"12/20/2025 20:58:04","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-20.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-20.json","0","0","0","0","True"
"12/21/2025 13:55:45","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-21.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-21.json","0","0","0","0","True"
"12/22/2025 14:13:12","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-22.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-22.json","0","0","0","0","True"
"12/23/2025 04:04:03","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\Run-20251222-210344\2025-12-22.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-22.json","37","2","4","0","True"
"12/23/2025 19:23:09","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-23.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-23.json","111","2","3","0","True"
"2025-12-24T16:33:58.4584197Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-24.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-2025-12-24.json","37","2","1","0","True"
